code,url,product_name,generic_name,quantity,brands,categories,ingredients_text,ingredients_analysis_tags,allergens,traces,additives_n,additives_en,nutriscore_score,nutriscore_grade,pnns_groups_1,pnns_groups_2,product_quantity,main_category_en,image_url,image_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,Unnamed: 25,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,butyric-acid_100g,caproic-acid_100g,caprylic-acid_100g,capric-acid_100g,lauric-acid_100g,myristic-acid_100g,palmitic-acid_100g,stearic-acid_100g,arachidic-acid_100g,behenic-acid_100g,lignoceric-acid_100g,cerotic-acid_100g,montanic-acid_100g,melissic-acid_100g,unsaturated-fat_100g,monounsaturated-fat_100g,omega-9-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,alpha-linolenic-acid_100g,eicosapentaenoic-acid_100g,docosahexaenoic-acid_100g,linoleic-acid_100g,arachidonic-acid_100g,gamma-linolenic-acid_100g,dihomo-gamma-linolenic-acid_100g,oleic-acid_100g,elaidic-acid_100g,gondoic-acid_100g,mead-acid_100g,erucic-acid_100g,nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,maltodextrins_100g,starch_100g,polyols_100g,erythritol_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,added-salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,sulphate_100g,nitrate_100g,acidity_100g,nutriscore_score_final,nutriscore_grade_final,Unnamed: 146,Unnamed: 147,Unnamed: 148,nutriscore_score.1,nutriscore_grade.1,category,nutriscore_score_final.1,nutriscore_grade_final.1,HealthStarRating,HSRTotalPoints
8906032019282,http://world-en.openfoodfacts.org/product/8906032019282/rolled-oats-patanjali,Rolled Oats,,200g,Patanjali,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Seeds, Cereals and their products, Breakfast cereals, Cereal grains, Flakes, Cereal flakes, Rolled flakes, Rolled oats, Oat",Rolled Oats,"en:palm-oil-free,en:vegan,en:vegetarian",,,0,,-4.0,a,Cereals and potatoes,Breakfast cereals,200.0,Oat,https://images.openfoodfacts.org/images/products/890/603/201/9282/front_en.15.400.jpg,https://images.openfoodfacts.org/images/products/890/603/201/9282/front_en.15.200.jpg,https://images.openfoodfacts.org/images/products/890/603/201/9282/ingredients_en.12.400.jpg,https://images.openfoodfacts.org/images/products/890/603/201/9282/ingredients_en.12.200.jpg,https://images.openfoodfacts.org/images/products/890/603/201/9282/nutrition_en.13.400.jpg,https://images.openfoodfacts.org/images/products/890/603/201/9282/nutrition_en.13.200.jpg,,411.0,1720.0,,10.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9,0.9,,,,,,,,,,,10.0,,,12.1,,,,0.01325,,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-4.0,,,,,,,,,,,,-4.0,a,,,,-4.0,a,General Food,-4.0,a,5,-11
8906024482056,http://world-en.openfoodfacts.org/product/8906024482056/dodla-ghee,Dodla Ghee,,200ml,Dodla,"Dairies,Fats,Spreads,Spreadable fats,Animal fats,Milkfat,Dairy spread,Butters,Butter fat,Clarified butter,Ghee",Milk Fat 99.7%,"en:palm-oil-free,en:non-vegan,en:vegetarian",en:milk,,0,,,unknown,Fat and sauces,Fats,200.0,Ghee,https://images.openfoodfacts.org/images/products/890/602/448/2056/front_en.10.400.jpg,https://images.openfoodfacts.org/images/products/890/602/448/2056/front_en.10.200.jpg,https://images.openfoodfacts.org/images/products/890/602/448/2056/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/602/448/2056/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/890/602/448/2056/nutrition_en.8.400.jpg,https://images.openfoodfacts.org/images/products/890/602/448/2056/nutrition_en.8.200.jpg,,897.0,3753.0,,99.7,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,20.0,e,,,,,unknown,Fat/Nuts/Oil/Seeds,20.0,e,1,41
8906023649832,http://world-en.openfoodfacts.org/product/8906023649832/thirumala-curd,Thirumala Curd,,,Thirumala,"yoghurt,curd,Dairy by-products",Milk solids and Active lactic culture,"en:palm-oil-content-unknown,en:non-vegan,en:vegetarian-status-unknown",,,0,,0.0,b,Milk and dairy products,Milk and yogurt,,Curd,https://images.openfoodfacts.org/images/products/890/602/364/9832/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/890/602/364/9832/front_en.5.200.jpg,https://images.openfoodfacts.org/images/products/890/602/364/9832/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/602/364/9832/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/890/602/364/9832/nutrition_en.6.400.jpg,https://images.openfoodfacts.org/images/products/890/602/364/9832/nutrition_en.6.200.jpg,,55.8,233.0,,3.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,,,,,,,,,,,,,,3.0,,,,0.1325,,0.053,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,1.0,b,,,,0.0,b,Cheese,1.0,b,5,0
8906023647845,http://world-en.openfoodfacts.org/product/8906023647845/sweet-lassi-thirumala,Sweet Lassi,,160 ml,Thirumala,"Beverages and beverages preparations,Beverages,Dairies,Dairy drinks,Lassi","Milk solids, sugar syrup, contains added artificial food flavour. Contains: Milk.","en:palm-oil-content-unknown,en:non-vegan,en:vegetarian-status-unknown",,,0,,21.0,e,Beverages,Sweetened beverages,160.0,Lassi,https://images.openfoodfacts.org/images/products/890/602/364/7845/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/890/602/364/7845/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/890/602/364/7845/ingredients_en.5.400.jpg,https://images.openfoodfacts.org/images/products/890/602/364/7845/ingredients_en.5.200.jpg,https://images.openfoodfacts.org/images/products/890/602/364/7845/nutrition_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/602/364/7845/nutrition_en.7.200.jpg,,108.0,452.0,,2.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0095,19.0,19.0,15.0,,,,,,,,,,0.0,,,2.4,,,,0.0875,,0.035,,,,,,,,,,,,,,,,,,,,,0.092,,,,,,,,,,,,,,,,,,0.0,,,,,,21.0,,,,,,,,,,,,17.0,e,,,,21.0,e,Beverages,17.0,e,0.5,20
8906020581029,http://world-en.openfoodfacts.org/product/8906020581029/id-peanut-chuntney,iD Peanut Chuntney,,,iD,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Spreads,Plant-based spreads,Chutneys","PEANUT (26.26%), COCONUT, RO-PURIFIED WATER, SUNFLOWER OIL, TAMARIND, GREEN CHILLY, DRIED RED CHILLY, IODIZED SALT, BENGAL GRAM, CORIANDER, GARLIC AND SUGAR.","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian",,,0,,12.0,d,Cereals and potatoes,Legumes,,Chutneys,https://images.openfoodfacts.org/images/products/890/602/058/1029/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/890/602/058/1029/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/890/602/058/1029/ingredients_en.5.400.jpg,https://images.openfoodfacts.org/images/products/890/602/058/1029/ingredients_en.5.200.jpg,https://images.openfoodfacts.org/images/products/890/602/058/1029/nutrition_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/602/058/1029/nutrition_en.7.200.jpg,,259.72,1087.0,,18.36,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,2.49,,,,,,,,,,,,,,9.22,,,,1.42535,,0.57014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.05402036,,,,,,12.0,,,,,,,,,,,,13.0,d,,,,12.0,d,Fat/Nuts/Oil/Seeds,13.0,d,5,13
8906019775118,http://world-en.openfoodfacts.org/product/8906019775118/dried-cranberries-nutraj,Dried Cranberries,,180g,Nutraj,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Dried products, Dried plant-based foods, Dried fruits, Dried cranberries","Cranberries, Sugar & Vegetable Edible Oil (Sunflower Oil)","en:may-contain-palm-oil,en:vegan,en:vegetarian",,,0,,,unknown,Fruits and vegetables,Dried fruits,180.0,Dried cranberries,https://images.openfoodfacts.org/images/products/890/601/977/5118/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/890/601/977/5118/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/890/601/977/5118/ingredients_en.5.400.jpg,https://images.openfoodfacts.org/images/products/890/601/977/5118/ingredients_en.5.200.jpg,https://images.openfoodfacts.org/images/products/890/601/977/5118/nutrition_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/601/977/5118/nutrition_en.7.200.jpg,1482.93,354.43,1482.93,,0.51,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.47,49.69,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666667,,,,,,,,,,,,,,,,,,16.0,d,,,,,unknown,General Food,16.0,d,1.5,16
8906019270019,http://world-en.openfoodfacts.org/product/8906019270019/yakult,Yakult,,65ml,Yakult,"Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Yogurts,Fermented milk drinks,Drinkable yogurts,Fermented milk drinks with sugar","Ingredients Water, Sugar, Skimmed Milk Powder, Glucose, Probiotic-Lactobacillus case strain Shirota (LcS), CONTAINS ADDED NATURAL & NATURAL IDENTICAL FLAVOURS ALLERGEN INFORMATION: CONTAINS MILK","en:palm-oil-content-unknown,en:non-vegan,en:vegetarian-status-unknown",en:milk,,0,,14.0,e,Beverages,Sweetened beverages,65.0,Fermented milk drinks with sugar,https://images.openfoodfacts.org/images/products/890/601/927/0019/front_en.20.400.jpg,https://images.openfoodfacts.org/images/products/890/601/927/0019/front_en.20.200.jpg,https://images.openfoodfacts.org/images/products/890/601/927/0019/ingredients_en.9.400.jpg,https://images.openfoodfacts.org/images/products/890/601/927/0019/ingredients_en.9.200.jpg,https://images.openfoodfacts.org/images/products/890/601/927/0019/nutrition_en.11.400.jpg,https://images.openfoodfacts.org/images/products/890/601/927/0019/nutrition_en.11.200.jpg,,50.0,209.0,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,10.5,,,,,,,,,,,,,,0.8,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,14.0,,,,,,,,,,,,12.0,e,,,,14.0,e,Beverages,12.0,e,0.5,14
8906016414843,http://world-en.openfoodfacts.org/product/8906016414843/godrej-jersey-doodh-peda,Godrej Jersey Doodh Peda,,190g,Godrej Jersey,"Dairies,Desserts,Dairy by-products",Milk solids & Sugar,"en:palm-oil-free,en:non-vegan,en:vegetarian",en:milk,,0,,18.0,d,unknown,unknown,190.0,Dairy by-products,https://images.openfoodfacts.org/images/products/890/601/641/4843/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/890/601/641/4843/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/890/601/641/4843/ingredients_en.5.400.jpg,https://images.openfoodfacts.org/images/products/890/601/641/4843/ingredients_en.5.200.jpg,https://images.openfoodfacts.org/images/products/890/601/641/4843/nutrition_en.6.400.jpg,https://images.openfoodfacts.org/images/products/890/601/641/4843/nutrition_en.6.200.jpg,,425.7,1781.0,,20.9,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0376,48.1,14.6,32.8,,,,,,,,,,,,,11.3,,,,0.05975,,0.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,18.0,,,,,,,,,,,,15.0,d,,,,18.0,d,Cheese,15.0,d,5,22
8906012230119,http://world-en.openfoodfacts.org/product/8906012230119/vijay-gold-poha-medium,Vijay Gold Poha Medium,,1kg,Vijay Gold,Breakfast cereals,Flattened Rice,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian",,,0,,,unknown,Cereals and potatoes,Breakfast cereals,1000.0,Breakfast cereals,https://images.openfoodfacts.org/images/products/890/601/223/0119/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/890/601/223/0119/front_en.3.200.jpg,,,https://images.openfoodfacts.org/images/products/890/601/223/0119/nutrition_en.4.400.jpg,https://images.openfoodfacts.org/images/products/890/601/223/0119/nutrition_en.4.200.jpg,,356.7,1492.0,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,8.05,,,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,-4.0,a,,,,,unknown,General Food,-4.0,a,4.5,-9
8906011145018,http://world-en.openfoodfacts.org/product/8906011145018/b-protin-chocolate-flavour-british-biologicals,B-Protin Chocolate Flavour,,200g,British Biologicals,"Dietary supplements,Bodybuilding supplements,Protein powders","Proprietary blend of high quality protein (Whey protein concentrate, Soy protein isolate). Skimmed milk powder, Sucrose, Maltodextrin, Malt extract, Natural cocoa powder, Inulin (Dietary fibre), Oleic sunflower oil powder, Minerals, Vitamins","en:palm-oil-free,en:non-vegan,en:vegetarian","en:milk,en:soybeans",,0,,,unknown,unknown,unknown,200.0,Protein powders,https://images.openfoodfacts.org/images/products/890/601/114/5018/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/890/601/114/5018/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/890/601/114/5018/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/601/114/5018/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/890/601/114/5018/nutrition_en.13.400.jpg,https://images.openfoodfacts.org/images/products/890/601/114/5018/nutrition_en.13.200.jpg,,386.0,1615.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,3.0,,,40.0,,,,0.875,,0.35,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,b,,,,,unknown,General Food,1.0,b,4.5,-9
