code,url,product_name,generic_name,quantity,brands,categories,ingredients_text,ingredients_analysis_tags,allergens,traces,additives_n,additives_en,nutriscore_score,nutriscore_grade,pnns_groups_1,pnns_groups_2,product_quantity,main_category_en,image_url,image_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,Unnamed: 25,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,butyric-acid_100g,caproic-acid_100g,caprylic-acid_100g,capric-acid_100g,lauric-acid_100g,myristic-acid_100g,palmitic-acid_100g,stearic-acid_100g,arachidic-acid_100g,behenic-acid_100g,lignoceric-acid_100g,cerotic-acid_100g,montanic-acid_100g,melissic-acid_100g,unsaturated-fat_100g,monounsaturated-fat_100g,omega-9-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,alpha-linolenic-acid_100g,eicosapentaenoic-acid_100g,docosahexaenoic-acid_100g,linoleic-acid_100g,arachidonic-acid_100g,gamma-linolenic-acid_100g,dihomo-gamma-linolenic-acid_100g,oleic-acid_100g,elaidic-acid_100g,gondoic-acid_100g,mead-acid_100g,erucic-acid_100g,nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,maltodextrins_100g,starch_100g,polyols_100g,erythritol_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,added-salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,sulphate_100g,nitrate_100g,acidity_100g,nutriscore_score_final,nutriscore_grade_final,Unnamed: 146,Unnamed: 147,Unnamed: 148,nutriscore_score.1,nutriscore_grade.1,category
8906062600375,http://world-en.openfoodfacts.org/product/8906062600375/e-millet-cookies-moon-foods,e-Millet cookies,,150g,Moon Foods,Ragi biscuits,"Finger Millet Flour, Atta, Cane Sugar, Vegetable Oils & Salt","en:may-contain-palm-oil,en:vegan-status-unknown,en:vegetarian-status-unknown",,,0,,,unknown,unknown,unknown,150,Ragi-biscuits,https://images.openfoodfacts.org/images/products/890/606/260/0375/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/890/606/260/0375/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/890/606/260/0375/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/606/260/0375/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/890/606/260/0375/nutrition_en.10.400.jpg,https://images.openfoodfacts.org/images/products/890/606/260/0375/nutrition_en.10.200.jpg,energy-kj_100g,505.6,2115,,23.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,0,,,,,,,,,,,0.37,,,5.3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4,c,,,,,unknown,General Food
8906058611194,http://world-en.openfoodfacts.org/product/8906058611194/oats-gaia,Oats,,500g,Gaia,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Oat",Oats,"en:palm-oil-free,en:vegan,en:vegetarian",en:gluten,,0,,-3,a,Cereals and potatoes,Cereals,500,Oat,,,,,https://images.openfoodfacts.org/images/products/890/605/861/1194/nutrition_en.4.400.jpg,https://images.openfoodfacts.org/images/products/890/605/861/1194/nutrition_en.4.200.jpg,,414.33,1734,,10.49,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.02,2.01,,,,,,,,,,,10.39,,,10.96,,,,0.00785,,0.00314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,-3,,,,,,,,,,,,-2,a,,,,-3,a,General Food
8906053813166,http://world-en.openfoodfacts.org/product/8906053813166/jaggery-powder-paawak,JAGGERY POWDER,,500g,Paawak,Jaggery,Jaggery,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian",,,0,,14,d,unknown,unknown,500,Jaggery,,,,,https://images.openfoodfacts.org/images/products/890/605/381/3166/nutrition_en.4.400.jpg,https://images.openfoodfacts.org/images/products/890/605/381/3166/nutrition_en.4.200.jpg,,383,1602,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,90,,,,,,,,,,,,,,0.4,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,0,,,,,,14,,,,,,,,,,,,19,e,,,,14,d,General Food
8906049492634,http://world-en.openfoodfacts.org/product/8906049492634/thoughtful-organic-whole-wheat-namdharis,Thoughtful Organic Whole Wheat,,1kg,Namdharis,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Flours,Cereal flours,Wheat flours,Whole wheat flours",Whole Wheat,"en:palm-oil-free,en:vegan,en:vegetarian",,,0,,,unknown,Cereals and potatoes,Cereals,1000,Whole wheat flours,https://images.openfoodfacts.org/images/products/890/604/949/2634/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/890/604/949/2634/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/890/604/949/2634/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/890/604/949/2634/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/890/604/949/2634/nutrition_en.8.400.jpg,https://images.openfoodfacts.org/images/products/890/604/949/2634/nutrition_en.8.200.jpg,,372,1556,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,12.17,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,-5,a,,,,,unknown,General Food
8906048500835,http://world-en.openfoodfacts.org/product/8906048500835/protinex-original,Protinex Original,,250 g,Protinex,Dietary supplements,"Peanut protein hydrolysate (56%), sugar, malt extract, maltodextrin, minerals (tribasic calcium phosphate, ferrous gluconate), choline bitartrate vitamins (ascorbic acid, niacinamide, d-alpha tocopheryl acetate, phytomenadione retinyl palmitate, thiamine mdnonitrate, ergocalciferol, riboflavin, pantothenol, pyridoxine hydrochloride, folic acid, cyanocobalamin, d-biotin).","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,0,,13,d,unknown,unknown,250,Dietary supplements,https://images.openfoodfacts.org/images/products/890/604/850/0835/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/890/604/850/0835/front_en.4.200.jpg,https://images.openfoodfacts.org/images/products/890/604/850/0835/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/604/850/0835/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/890/604/850/0835/nutrition_en.27.400.jpg,https://images.openfoodfacts.org/images/products/890/604/850/0835/nutrition_en.27.200.jpg,,354,1481,,0.5,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,32,29,,,,,,,,,,,,,34,,,,0.6125,,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,13,,,,,,,,,,,,16,d,,,,13,d,General Food
8906046640649,http://world-en.openfoodfacts.org/product/8906046640649/cashews-kalbavi,CASHEWS,,500g,Kalbavi,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Cashew nuts,CASHEWS",CASHEWS,"en:palm-oil-free,en:vegan,en:vegetarian",en:nuts,,0,,1,b,Salty snacks,Nuts,500,Cashews,https://images.openfoodfacts.org/images/products/890/604/664/0649/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/890/604/664/0649/front_en.5.200.jpg,https://images.openfoodfacts.org/images/products/890/604/664/0649/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/604/664/0649/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/890/604/664/0649/nutrition_en.3.400.jpg,https://images.openfoodfacts.org/images/products/890/604/664/0649/nutrition_en.3.200.jpg,,553,2310,,44,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,6,,,,,,,,,,,3,,,18,,,,0.03,,0.012,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,100,,,,,,1,,,,,,,,,,,,9,c,,,,1,b,Fat/Nuts/Oil/Seeds
8906045140614,http://world-en.openfoodfacts.org/product/8906045140614/concentrate-whey-protein-unflavoured-nutrabay-pure,Concentrate Whey Protein Unflavoured,,1 kg,Nutrabay Pure,"Dietary supplements,Bodybuilding supplements,Protein powders",Whey Protein Concentrate (Cross-Flow Microfiltered),"en:palm-oil-content-unknown,en:non-vegan,en:vegetarian",,,0,,11,d,unknown,unknown,1000,Protein powders,https://images.openfoodfacts.org/images/products/890/604/514/0614/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/890/604/514/0614/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/890/604/514/0614/ingredients_en.5.400.jpg,https://images.openfoodfacts.org/images/products/890/604/514/0614/ingredients_en.5.200.jpg,https://images.openfoodfacts.org/images/products/890/604/514/0614/nutrition_en.16.400.jpg,https://images.openfoodfacts.org/images/products/890/604/514/0614/nutrition_en.16.200.jpg,,409,1711,,7.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,7.7,7.7,,,,,,,,,,,,,,77.9,,,,0.5525,,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,11,,,,,,,,,,,,12,d,,,,11,d,General Food
8906043701435,http://world-en.openfoodfacts.org/product/8906043701435/premium-milk-omfed,Premium Milk,,500ml,Omfed,"Dairies,Milks","Milk, Vitamin A & Vitamin D","en:palm-oil-free,en:non-vegan,en:vegetarian-status-unknown",en:milk,,0,,,unknown,Milk and dairy products,Milk and yogurt,500,Milks,https://images.openfoodfacts.org/images/products/890/604/370/1435/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/890/604/370/1435/front_en.5.200.jpg,https://images.openfoodfacts.org/images/products/890/604/370/1435/ingredients_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/604/370/1435/ingredients_en.7.200.jpg,https://images.openfoodfacts.org/images/products/890/604/370/1435/nutrition_en.11.400.jpg,,,63.5,266,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,-1,a,,,,,unknown,Beverages
8906038500074,http://world-en.openfoodfacts.org/product/8906038500074/wheat-flour,Wheat flour,,5 kg,,,wheat,"en:palm-oil-free,en:vegan,en:vegetarian",,,0,,,unknown,unknown,unknown,5000,,https://images.openfoodfacts.org/images/products/890/603/850/0074/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/890/603/850/0074/front_en.3.200.jpg,,,,https://images.openfoodfacts.org/images/products/890/604/370/1435/nutrition_en.11.200.jpg,,351,1469,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,-1,a,,,,,unknown,General Food
8906036741080,http://world-en.openfoodfacts.org/product/8906036741080/masala-tea-ginni,Masala Tea,,500g,Ginni,Teas,"TEA (97.2%) GINGER, CARDAMOM, CLOVES STAR ANISE, NUT MEG, CINNAMON, BLACK PEPPER (SPICES 2.8%)","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian",,,0,,,unknown,Beverages,Unsweetened beverages,500,Teas,https://images.openfoodfacts.org/images/products/890/603/674/1080/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/890/603/674/1080/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/890/603/674/1080/ingredients_en.9.400.jpg,https://images.openfoodfacts.org/images/products/890/603/674/1080/ingredients_en.9.200.jpg,https://images.openfoodfacts.org/images/products/890/603/674/1080/nutrition_en.10.400.jpg,https://images.openfoodfacts.org/images/products/890/603/674/1080/nutrition_en.10.200.jpg,,120,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,-6,a,,,,,unknown,Beverages
